,UniqueGAV_16,UniqueGAV_14_16_pct_change,UniqueGAV_15_16_pct_change,Type_16,Drop_Fund_17,Same_Fund_17_Same_AuditGrp,Same_Fund_17_Same_AdminGrp,Same_Fund_17_New_AuditGrp,Same_Fund_17_New_AdminGrp
3240,30408538.0,0.027311481729,0.0,HF,0.0,1.0,1.0,0.0,0.0
3241,65808921.0,0.11276422877,0.0,HF,0.0,1.0,1.0,0.0,0.0
3242,3706237.0,-0.967034866449,-0.814184655452,HF,0.0,1.0,1.0,0.0,0.0
3243,327157392.0,2.32072058465,0.4872759496,HF,0.0,1.0,1.0,0.0,0.0
3244,1035767436.0,0.280256796093,0.145967616068,HF,0.0,1.0,1.0,0.0,0.0
3245,548255261.0,6.67230471513,0.64859310069,HF,0.0,1.0,1.0,0.0,0.0
3246,480562043.0,-0.388327092657,-0.0983606774834,HF,0.0,1.0,1.0,0.0,0.0
3247,213832635.0,0.294315896834,0.307901866108,HF,0.0,1.0,1.0,0.0,0.0
3248,571484659.0,0.135676006685,0.0780917346302,HF,0.0,1.0,1.0,0.0,0.0
3249,563988123.0,-0.0242673235124,-0.0295845851812,HF,0.0,1.0,1.0,0.0,0.0
3250,269581458.0,0.44064137533,0.122876664332,HF,1.0,0.0,0.0,0.0,0.0
3251,113829192.0,-0.111028911485,-0.0554304059036,HF,0.0,1.0,1.0,0.0,0.0
3252,2118011092.0,-0.0561267029627,-0.0803908268673,HF,0.0,1.0,1.0,0.0,0.0
3253,49714620.0,-0.85954496912,-0.627570834355,HF,0.0,1.0,1.0,0.0,0.0
3254,100228776.0,3.00915104,-0.0315955589897,HF,0.0,1.0,1.0,0.0,0.0
3255,47403548.0,0.578245835807,0.578245835807,HF,1.0,0.0,0.0,0.0,0.0
3256,294912000.0,-0.590883002958,-0.486352046148,RE,0.0,1.0,1.0,0.0,0.0
3257,1136261000.0,-0.355758407533,-0.249951647516,RE,0.0,1.0,1.0,0.0,0.0
3258,2108511000.0,-0.229918116399,-0.0809216278914,RE,0.0,1.0,1.0,0.0,0.0
3259,227292435.0,7.82870202069,0.0155952862585,OTHER,0.0,1.0,1.0,0.0,0.0
3260,145209244.0,0.302325058296,0.135712242479,PE,0.0,1.0,1.0,0.0,0.0
3261,16598570.0,1.12350797919,0.102181271849,HF,0.0,1.0,1.0,0.0,0.0
3262,313653400.0,1.29717475908,0.0743655878318,HF,0.0,1.0,1.0,0.0,0.0
3263,16850000.0,0.000831551437396,0.0,HF,0.0,1.0,1.0,0.0,0.0
3264,18691668.0,-0.0949024165256,-0.207620576965,HF,0.0,1.0,1.0,0.0,0.0
3265,2990000.0,0.718390804598,0.0,HF,0.0,1.0,1.0,0.0,0.0
3266,16000000.0,0.0,0.0,HF,0.0,1.0,1.0,0.0,0.0
3267,94892572.0,-0.337665008222,-0.573391799686,HF,0.0,1.0,1.0,0.0,0.0
3268,650155000.0,-0.0402454614433,-0.0272703334321,PE,0.0,1.0,1.0,0.0,0.0
3269,72783000.0,-0.854463107379,-0.856584656491,PE,0.0,1.0,1.0,0.0,0.0
3270,87310000.0,-0.825414917017,-0.819000116092,PE,0.0,1.0,1.0,0.0,0.0
3271,28000000.0,-0.9104,-0.9104,PE,0.0,1.0,1.0,0.0,0.0
3272,173400000.0,-0.339428571429,-0.339428571429,PE,0.0,1.0,1.0,0.0,0.0
3273,6324675.0,-0.310737249346,-0.130527995275,HF,0.0,1.0,1.0,0.0,0.0
3274,2604300.0,-0.158546042003,-0.0698928571429,PE,0.0,1.0,1.0,0.0,0.0
3275,16690400.0,-0.250375028071,-0.16380761523,PE,0.0,1.0,1.0,0.0,0.0
3276,257785400.0,-0.472615793781,-0.353240503788,PE,0.0,1.0,1.0,0.0,0.0
3277,7050800.0,-0.472640239342,-0.353137614679,PE,0.0,1.0,1.0,0.0,0.0
3278,375580600.0,0.00732358857449,-5.16506922258e-05,PE,0.0,1.0,1.0,0.0,0.0
3279,124945000.0,0.00721483272874,-0.00044,PE,0.0,1.0,1.0,0.0,0.0
3280,111525400.0,-0.293337979977,-0.204923362087,PE,0.0,1.0,1.0,0.0,0.0
3281,430500.0,-0.366911764706,-0.79976744186,PE,0.0,1.0,1.0,0.0,0.0
3282,1381900.0,-0.332415458937,-0.78870030581,PE,0.0,1.0,1.0,0.0,0.0
3283,160559739.0,0.405440745175,0.405440745175,PE,0.0,1.0,1.0,0.0,0.0
3284,225323272.0,-0.0203336,-0.0203336,PE,0.0,1.0,1.0,0.0,0.0
3285,20498414.0,-0.620976102728,-0.620976102728,PE,0.0,1.0,1.0,0.0,0.0
3286,163180223.0,-0.350474407582,-0.309839481732,PE,0.0,1.0,1.0,0.0,0.0
3287,854551861.0,-0.149984877115,-0.224360888856,PE,0.0,1.0,1.0,0.0,0.0
3288,154100000.0,0.263114754098,0.0731197771588,PE,0.0,1.0,1.0,0.0,0.0
3289,546445698.0,-0.0377232976309,0.0,PE,0.0,1.0,1.0,0.0,0.0
3290,1198311678.0,-0.162019805594,-0.0728507441881,PE,0.0,1.0,1.0,0.0,0.0
3291,24981248.0,-0.956775031757,-0.892568564312,PE,0.0,1.0,1.0,0.0,0.0
3292,437680399.0,-0.433869901332,-0.644150105434,PE,0.0,1.0,1.0,0.0,0.0
3293,3629575654.0,0.544500278298,0.194896574219,PE,0.0,1.0,0.0,0.0,1.0
3294,632636.0,-0.589197402597,-0.743618901417,OTHER-FOF,1.0,0.0,0.0,0.0,0.0
3295,155547628.0,0.0920908890723,-0.175407504267,PE,0.0,1.0,1.0,0.0,0.0
3296,184574284.0,0.0291853622358,0.0263802746802,OTHER-EQ,0.0,0.0,1.0,1.0,0.0
3297,46547923.0,0.219038107994,0.148372441868,OTHER-EQ,0.0,0.0,1.0,1.0,0.0
3298,12501287.0,0.198330159843,0.0650435200137,OTHER-DK,0.0,1.0,1.0,0.0,0.0
3299,77696198.0,-0.134485625871,-0.193923964221,HF,0.0,1.0,1.0,0.0,0.0
3300,11830366.0,-0.654076452762,-0.652324113477,HF,0.0,1.0,1.0,0.0,0.0
3301,13878013.0,-0.0274159402019,-0.00771760175622,HF,0.0,1.0,1.0,0.0,0.0
3302,32876772.0,0.191587263813,0.328521200621,HF,0.0,1.0,1.0,0.0,0.0
3303,18635448.0,-0.0253746386036,-0.202028609894,HF,0.0,1.0,1.0,0.0,0.0
3304,20456956.0,-0.265605477402,-0.372519792263,HF,0.0,1.0,1.0,0.0,0.0
3305,24646509.0,0.234509111442,0.0732664965919,HF,0.0,1.0,1.0,0.0,0.0
3306,2316994.0,-0.803511963498,-0.790929964334,PE,0.0,1.0,1.0,0.0,0.0
3307,1040392.0,-0.681830595202,-0.621409246142,PE,0.0,1.0,1.0,0.0,0.0
3308,4321267.0,-0.484513885832,-0.196635372519,PE,0.0,1.0,1.0,0.0,0.0
3309,14787488.0,-0.52927730423,-0.306380293314,PE,0.0,1.0,1.0,0.0,0.0
3310,4427135.0,-0.858964983637,-0.785084086503,PE,0.0,1.0,1.0,0.0,0.0
3311,12873705.0,5.27348162818,1.44693141041,PE,0.0,1.0,1.0,0.0,0.0
3312,7681554.0,1.89614227437,1.88867863295,HF,0.0,1.0,1.0,0.0,0.0
3313,7544843.0,-0.555777674611,-0.500342548966,PE,0.0,1.0,1.0,0.0,0.0
3314,36862223.0,-0.169483298812,-0.0169744094349,HF,0.0,1.0,1.0,0.0,0.0
3315,7954004.0,-0.876490621118,-0.892929316208,PE,0.0,1.0,1.0,0.0,0.0
3316,16487564.0,5.86981833333,-0.0600542478428,PE,0.0,1.0,1.0,0.0,0.0
3317,1080368.0,-0.908186842081,-0.893868848504,VC,0.0,1.0,1.0,0.0,0.0
3318,11788551.0,-0.750823640718,-0.101336702985,VC,0.0,1.0,1.0,0.0,0.0
3319,596345.0,-0.66358938776,-0.104886802167,VC,0.0,1.0,1.0,0.0,0.0
3320,5930362074.0,5.40185906452,0.151734681094,VC,0.0,1.0,1.0,0.0,0.0
3321,919508867.0,-0.588491495923,-0.404915806883,VC,0.0,1.0,1.0,0.0,0.0
3322,433169803.0,0.00903083591204,0.0276725972309,VC,0.0,1.0,1.0,0.0,0.0
3323,39192223.0,-0.576081311538,-0.393026275221,VC,0.0,1.0,1.0,0.0,0.0
3324,1745874.0,-0.690370190394,-0.0981869460113,VC,0.0,1.0,1.0,0.0,0.0
3325,173952353.0,-0.452608107091,-0.208450389249,VC,0.0,1.0,1.0,0.0,0.0
3326,25913427.0,-0.547216116933,-0.648445591567,VC,0.0,1.0,1.0,0.0,0.0
3327,57453706.0,-0.0771517249098,0.0626529742413,VC,0.0,1.0,1.0,0.0,0.0
3328,317625.0,-0.581651818407,-0.659875783049,VC,0.0,1.0,1.0,0.0,0.0
3329,57257104.0,-0.589787319759,-0.406301221228,VC,0.0,1.0,1.0,0.0,0.0
3330,877266.0,-0.811429253136,0.016193938046,VC,0.0,1.0,1.0,0.0,0.0
3331,69009020.0,0.0645723434463,0.0271589842166,VC,0.0,1.0,1.0,0.0,0.0
3332,54619806.0,-0.653151825384,-0.0778997513764,VC,0.0,1.0,1.0,0.0,0.0
3333,63573974.0,0.0437518103825,0.057207532847,VC,0.0,1.0,1.0,0.0,0.0
3334,468521969.0,-0.0795165135423,0.065717045316,VC,0.0,1.0,1.0,0.0,0.0
3335,874416025.0,5.80294737895,0.153851634622,VC,0.0,1.0,1.0,0.0,0.0
3336,9336610.0,-0.0626435659946,0.0617542135902,VC,0.0,1.0,1.0,0.0,0.0
3337,658585570.0,5.39464140612,0.15159822972,VC,0.0,1.0,1.0,0.0,0.0
3338,172895996.0,-0.753578648235,-0.235041783857,HF,0.0,0.0,1.0,1.0,0.0
3339,14412.0,-0.325912067353,-0.0171849427169,HF,0.0,0.0,1.0,1.0,0.0
3340,216841848.0,0.0197522646699,-0.484156387663,HF,0.0,0.0,1.0,1.0,0.0
3341,113823968.0,-0.32659809763,-0.0572194112303,HF,0.0,0.0,1.0,1.0,0.0
3342,117149102.0,-0.431681758595,-0.31851896416,HF,0.0,0.0,1.0,1.0,0.0
3343,3584639.0,0.0348575707816,-0.0520725077574,HF,0.0,0.0,1.0,1.0,0.0
3344,1852827.0,0.218476939174,0.0512887291099,HF,0.0,0.0,1.0,1.0,0.0
3345,8757099.0,0.0866611463531,0.00990076744441,HF,0.0,0.0,1.0,1.0,0.0
3346,1033585.0,4.88528202617,0.60506279185,HF,0.0,0.0,1.0,1.0,0.0
3347,70693887.0,-0.279932506628,-0.280418441813,HF,0.0,0.0,1.0,1.0,0.0
3348,3614004.0,0.220094467752,-0.0251076318828,HF,0.0,0.0,1.0,1.0,0.0
3349,136163000.0,-0.680796771467,-0.680796771467,PE,0.0,1.0,1.0,0.0,0.0
3350,222777000.0,-0.47901582758,-0.47901582758,PE,0.0,1.0,1.0,0.0,0.0
3351,38947526.0,-0.383167114951,-0.255106174673,HF,0.0,1.0,1.0,0.0,0.0
3352,3219552.0,-0.693889274803,-0.582978437892,HF,0.0,1.0,1.0,0.0,0.0
3353,105116147.0,-0.424500000857,-0.203093313658,RE,0.0,1.0,1.0,0.0,0.0
3354,451577151.0,0.113502028385,-0.0155097349867,RE,0.0,1.0,1.0,0.0,0.0
3355,6095192.0,-0.589730182892,-0.426611662003,RE,0.0,1.0,1.0,0.0,0.0
3356,7537147174.0,0.387982668539,0.265881106871,OTHER,0.0,1.0,1.0,0.0,0.0
3357,46193442.0,-0.396331913462,-0.207059102825,PE,0.0,1.0,1.0,0.0,0.0
3358,107386606.0,-0.0270342356783,-0.074940803256,HF,0.0,1.0,0.0,0.0,1.0
3359,53689018.0,-0.598300374731,-0.541275968375,HF,0.0,1.0,0.0,0.0,1.0
3360,80806724.0,-0.475061738776,-0.278207492433,HF,0.0,1.0,0.0,0.0,1.0
3361,405309816.0,-0.191975057295,-0.184586732793,HF,0.0,1.0,0.0,0.0,1.0
3362,260711585.0,-0.370915172016,-0.232049427992,HF,0.0,1.0,0.0,0.0,1.0
3363,10006719.0,-0.488686977508,-0.313636189666,HF,0.0,1.0,0.0,0.0,1.0
3364,15614000.0,-0.0495495495495,-0.139477977162,OTHER-EQ,0.0,1.0,1.0,0.0,0.0
3365,4712000.0,-0.175964464342,-0.151785714286,HF,0.0,1.0,1.0,0.0,0.0
3366,38335815.0,1.75990026126,0.016089172221,PE,0.0,1.0,1.0,0.0,0.0
3367,988001155.0,-0.188246566265,0.21792926641,PE,0.0,1.0,1.0,0.0,0.0
3368,1599196970.0,-0.29295625831,0.0964603894017,PE,0.0,1.0,1.0,0.0,0.0
3369,298797355.0,-0.293396253974,0.096086516474,PE,0.0,1.0,1.0,0.0,0.0
3370,3025370612.0,2.34139444972,0.0124890794007,PE,0.0,1.0,1.0,0.0,0.0
3371,1256454992.0,2.33786747535,0.0122202791489,PE,0.0,1.0,1.0,0.0,0.0
3372,1441132967.0,0.522086880755,-0.0363091888018,HF,0.0,1.0,1.0,0.0,0.0
3373,137264527.0,0.251624199198,-0.0719558673385,HF,0.0,1.0,1.0,0.0,0.0
3374,230615821.0,-0.117069596372,-0.195049051483,PE,0.0,1.0,1.0,0.0,0.0
3375,518848560.0,0.404402343265,0.0520522317269,PE,0.0,1.0,1.0,0.0,0.0
3376,215148662.0,0.403920621658,0.0589160590223,PE,0.0,1.0,1.0,0.0,0.0
3377,54758366.0,-0.540163951559,-0.540163951559,PE,0.0,1.0,1.0,0.0,0.0
3378,81781.0,-0.961391421428,-0.961391421428,VC,0.0,1.0,1.0,0.0,0.0
3379,9450593.0,-0.295027375465,-0.295027375465,VC,0.0,1.0,1.0,0.0,0.0
3380,724913.0,-0.478593890257,-0.478593890257,VC,1.0,0.0,0.0,0.0,0.0
3381,2611002.0,-0.197216733176,-0.197216733176,VC,0.0,1.0,1.0,0.0,0.0
3382,95510313.0,-0.467330394281,-0.467330394281,VC,0.0,0.0,1.0,1.0,0.0
3383,173910.0,-0.936414069415,-0.936414069415,VC,0.0,1.0,1.0,0.0,0.0
3384,11136838.0,-0.33459286732,-0.33459286732,VC,0.0,1.0,1.0,0.0,0.0
3385,4263642.0,-0.490980744229,-0.490980744229,VC,0.0,1.0,1.0,0.0,0.0
3386,279320322.0,-0.493685391126,-0.493685391126,VC,0.0,1.0,1.0,0.0,0.0
3387,1170986.0,0.176216635378,0.176216635378,VC,0.0,1.0,1.0,0.0,0.0
3388,364823028.0,-0.186241242984,-0.186241242984,VC,0.0,1.0,1.0,0.0,0.0
3389,725424642.0,-0.241282224919,-0.241282224919,VC,0.0,0.0,1.0,1.0,0.0
3390,1309963174.0,0.4295983671,0.4295983671,VC,0.0,1.0,1.0,0.0,0.0
3391,924211864.0,0.396813668315,0.396813668315,VC,0.0,0.0,1.0,1.0,0.0
3392,5524557.0,-0.237208198384,-0.237208198384,VC,0.0,1.0,1.0,0.0,0.0
3393,4629217.0,-0.432711027671,-0.432711027671,VC,0.0,1.0,1.0,0.0,0.0
3394,233890.0,-0.512896608458,-0.512896608458,VC,0.0,1.0,1.0,0.0,0.0
3395,226367.0,-0.396069611523,-0.396069611523,VC,0.0,1.0,1.0,0.0,0.0
3396,1795.0,-0.991748112869,-0.991748112869,VC,0.0,1.0,1.0,0.0,0.0
3397,940323116.0,0.118731595381,0.118731595381,VC,0.0,1.0,1.0,0.0,0.0
3398,26705000.0,0.0,0.0,HF,1.0,0.0,0.0,0.0,0.0
3399,7634602.0,0.0,0.0,VC,1.0,0.0,0.0,0.0,0.0
3400,56337147.0,0.0,0.0,VC,0.0,1.0,1.0,0.0,0.0
3401,11600000.0,0.0,0.0,VC,0.0,1.0,1.0,0.0,0.0
3402,3913919605.0,3.33539677351,1922.01852552,HF,0.0,1.0,1.0,0.0,0.0
3403,82807096.0,-0.400410498248,-0.400410498248,OTHER-SBIC,0.0,1.0,1.0,0.0,0.0
3404,3825000.0,0.0,0.0,PE,0.0,1.0,1.0,0.0,0.0
3405,5750000.0,0.0,0.0,PE,0.0,1.0,1.0,0.0,0.0
3406,9300000.0,0.0,0.0,PE,0.0,1.0,1.0,0.0,0.0
3407,775000.0,0.0,0.0,PE,0.0,1.0,1.0,0.0,0.0
3408,1650000.0,0.0,0.0,PE,0.0,1.0,1.0,0.0,0.0
3409,147217922.0,-0.135759215103,-0.22912593911,HF,1.0,0.0,0.0,0.0,0.0
3410,725634203.0,-0.448687082366,-0.441551667936,HF,1.0,0.0,0.0,0.0,0.0
3411,31640272.0,-0.917511103636,-0.89593724233,HF,1.0,0.0,0.0,0.0,0.0
3412,37874823.0,1.38401353308,0.0236438648649,HF,0.0,1.0,1.0,0.0,0.0
3413,99158182.0,0.953855802956,0.62168913239,RE,0.0,1.0,1.0,0.0,0.0
3414,819323479.0,0.878465996871,0.138987070786,HF,0.0,1.0,1.0,0.0,0.0
3415,170904115.0,0.141563893656,-0.097616189058,HF,0.0,1.0,1.0,0.0,0.0
3416,77034183.0,0.374919243721,-0.0444288900189,HF,0.0,1.0,1.0,0.0,0.0
3417,1180000.0,0.0,0.0,OTHER-LO EQ,0.0,1.0,1.0,0.0,0.0
3418,1180000.0,0.0,0.0,OTHER-LO EQ,0.0,1.0,1.0,0.0,0.0
3419,273877166.0,0.88657354464,0.838174769409,VC,0.0,0.0,1.0,1.0,0.0
3420,26331773.0,0.308570319936,0.11370303021,VC,0.0,0.0,1.0,1.0,0.0
3421,5314542.0,0.310623923081,0.126542027666,VC,0.0,0.0,1.0,1.0,0.0
3422,64516950.0,15.7006026945,0.124546854781,VC,0.0,0.0,1.0,1.0,0.0
3423,4644300.0,-0.0450386133968,-0.0601902769164,VC,0.0,1.0,1.0,0.0,0.0
3424,23581096.0,-0.0394477382632,-0.0604021379599,VC,0.0,1.0,1.0,0.0,0.0
3425,1241151.0,-0.456265828691,-0.476318422109,VC,1.0,0.0,0.0,0.0,0.0
3426,27730069.0,0.120238815092,-0.147115792999,VC,0.0,1.0,1.0,0.0,0.0
3427,8003246.0,0.356482372881,0.0564716436572,PE,0.0,1.0,1.0,0.0,0.0
3428,5564246.0,0.886185084746,0.0609573515526,PE,0.0,1.0,1.0,0.0,0.0
3429,25775804.0,0.229702972186,0.229702972186,PE,0.0,1.0,1.0,0.0,0.0
3430,24476066.0,0.228779858427,0.228779858427,PE,0.0,1.0,1.0,0.0,0.0
3431,11222204.0,-0.125315354638,-0.118444304792,PE,0.0,1.0,1.0,0.0,0.0
3432,619857547.0,0.928837684458,0.157904621308,HF,0.0,1.0,1.0,0.0,0.0
3433,30471159.0,0.202824734536,-0.12042634405,HF,0.0,1.0,1.0,0.0,0.0
3434,9500807.0,0.368600517402,0.0,PE,0.0,1.0,1.0,0.0,0.0
3435,432551435.0,0.383839524774,0.0,PE,0.0,1.0,1.0,0.0,0.0
3436,698616084.0,0.190117112749,0.0,PE,0.0,1.0,1.0,0.0,0.0
3437,23757362.0,-0.629468139931,0.0,PE,0.0,1.0,1.0,0.0,0.0
3438,196702167.0,-0.0542636481486,-0.0542636481486,HF,0.0,1.0,1.0,0.0,0.0
3439,7677421.0,-0.421245757298,-0.421245757298,HF,0.0,1.0,1.0,0.0,0.0
3440,10848110.0,0.961112587475,0.961112587475,HF,1.0,0.0,0.0,0.0,0.0
3441,49775073.0,0.407567609664,0.407567609664,HF,0.0,1.0,1.0,0.0,0.0
3442,56071469.0,0.171910429598,0.171910429598,HF,0.0,1.0,1.0,0.0,0.0
3443,42783489.0,-0.083234137628,-0.083234137628,HF,0.0,1.0,1.0,0.0,0.0
3444,71426817.0,0.146735311164,0.146735311164,HF,0.0,1.0,1.0,0.0,0.0
3445,206000.0,0.0,0.0,VC,0.0,1.0,1.0,0.0,0.0
3446,1100000.0,0.0,0.0,VC,0.0,1.0,1.0,0.0,0.0
3447,105000.0,0.0,0.0,VC,0.0,1.0,1.0,0.0,0.0
3448,14269152.0,0.0,0.0,VC,0.0,1.0,1.0,0.0,0.0
3449,2954590.0,0.0,0.0,VC,0.0,1.0,1.0,0.0,0.0
3450,12000000.0,0.0,0.0,VC,0.0,1.0,1.0,0.0,0.0
3451,146607707.0,-0.0168650878672,-0.0179644843086,HF,0.0,1.0,1.0,0.0,0.0
3452,6037929.0,-0.210824586907,-0.137592469228,PE,0.0,1.0,1.0,0.0,0.0
3453,59459627.0,-0.247677058657,-0.144184450739,PE,0.0,1.0,1.0,0.0,0.0
3454,49118996.0,0.755473798553,0.493636392027,PE,0.0,1.0,1.0,0.0,0.0
3455,240464285.0,0.103277222322,0.115115258019,PE,0.0,1.0,0.0,0.0,1.0
3456,19606842.0,-0.173018096612,0.0,PE,0.0,1.0,1.0,0.0,0.0
3457,60098278.0,-0.187861108108,0.331644127962,HF,0.0,1.0,1.0,0.0,0.0
3458,11308153.0,-0.922650686794,-0.828085671832,PE,1.0,0.0,0.0,0.0,0.0
3459,572113000.0,-0.213852151733,-0.201086698487,HF,0.0,1.0,1.0,0.0,0.0
3460,246231611.0,2.75326495179,0.4091959164,HF,0.0,1.0,1.0,0.0,0.0
3461,473052450.0,2.23967192734,0.111972011632,HF,0.0,1.0,1.0,0.0,0.0
