,"Boston, MA metro area All Residential Median Sale Price","Boston, MA metro area All Residential Median Sale Price Best ARMA","Boston, MA metro area All Residential Median Sale Price Best ARMA Add","Boston, MA metro area All Residential Median Sale Price Best SARMA","Boston, MA metro area All Residential Median Sale Price Baseline Trend","Boston, MA metro area All Residential Median Sale Price Trend Seasonality","Boston, MA metro area All Residential Median Sale Price Trend Seasonality Additional","Boston, MA metro area All Residential Median Sale Price Best ARMA Error","Boston, MA metro area All Residential Median Sale Price Best ARMA Add Error","Boston, MA metro area All Residential Median Sale Price Best SARMA Error","Boston, MA metro area All Residential Median Sale Price Baseline Trend Error","Boston, MA metro area All Residential Median Sale Price Trend Seasonality Error","Boston, MA metro area All Residential Median Sale Price Trend Seasonality Additional Error"
2014-05-31,350.0,350.9053949203361,349.5494492645431,352.1992125376214,339.1924652777777,348.4485416666666,350.6728459821428,-0.9053949203361071,0.4505507354568863,-2.1992125376214062,10.807534722222272,1.5514583333334144,-0.6728459821428032
2014-06-30,375.0,371.68548793987463,371.28059555902337,380.45610541830064,340.9424652777778,374.5504761904762,376.5058779761905,3.3145120601253666,3.719404440976632,-5.456105418300638,34.057534722222215,0.44952380952378235,-1.5058779761905043
2014-07-31,370.0,373.43471262011246,374.1400601231784,373.63973061257855,342.4007986111111,371.90166666666664,373.5262872023809,-3.434712620112464,-4.140060123178387,-3.6397306125785462,27.5992013888889,-1.9016666666666424,-3.5262872023808995
2014-08-31,360.0,368.7751123342623,368.658893568611,366.06010641959506,343.2341319444444,366.85999999999996,367.78968005952373,-8.775112334262303,-8.658893568611006,-6.0601064195950585,16.765868055555586,-6.859999999999957,-7.789680059523732
2014-09-30,335.0,339.3211073934399,341.63518904002865,340.55288861047586,343.650798611111,341.46714285714273,342.77320684523795,-4.321107393439888,-6.635189040028649,-5.552888610475861,-8.650798611110986,-6.467142857142733,-7.773206845237951
2014-10-31,330.0,334.33074511981397,335.03128356503214,326.23274318489445,344.0674652777777,332.6159523809523,333.5162648809523,-4.330745119813969,-5.03128356503214,3.7672568151055543,-14.067465277777728,-2.615952380952308,-3.516264880952292
2014-11-30,340.0,334.67683416382084,334.02927746527234,336.58829769337046,344.9007986111111,341.52071428571423,342.2840141369047,5.323165836179157,5.970722534727656,3.411702306629536,-4.9007986111110995,-1.5207142857142344,-2.284014136904716
2014-12-31,345.0,336.68772955275057,338.66844054808234,337.9839187800019,346.1924652777777,339.89571428571423,339.09425223214276,8.312270447249432,6.331559451917656,7.016081219998114,-1.1924652777777283,5.104285714285766,5.905747767857235
2015-01-31,345.0,337.5276956976612,341.6992913543769,330.0851362953018,347.77579861111104,334.81833333333327,332.5886383928571,7.4723043023387845,3.3007086456231036,14.914863704698178,-2.7757986111110426,10.181666666666729,12.411361607142908
2015-02-28,326.0,325.1209719653855,325.21813680093726,324.0784901063547,349.77579861111104,316.8704166666666,312.0981622023809,0.879028034614521,0.7818631990627409,1.9215098936452932,-23.775798611111043,9.129583333333414,13.901837797619123
2015-03-31,325.0,336.8417296730583,339.41815131452796,339.804425319424,351.06746527777784,331.35479166666676,325.17468377976195,-11.841729673058296,-14.418151314527961,-14.804425319424013,-26.067465277777842,-6.354791666666756,-0.17468377976194915
2015-04-30,338.0,343.9225023572996,344.9313875426686,345.66838234474324,351.6091319444444,344.5058333333333,338.17433407738093,-5.9225023572996065,-6.931387542668574,-7.668382344743236,-13.609131944444414,-6.505833333333328,-0.17433407738093365
2015-05-31,360.0,362.23674688240317,362.4159530945234,356.4209053565417,352.3591319444444,361.61520833333327,355.47363095238086,-2.2367468824031675,-2.4159530945233882,3.5790946434582906,7.640868055555586,-1.6152083333332712,4.526369047619141
2015-06-30,380.0,382.61289147036393,382.0260974756699,384.6066730390898,352.9841319444444,386.59214285714285,380.9971614583333,-2.612891470363934,-2.0260974756699284,-4.606673039089799,27.015868055555586,-6.592142857142846,-0.9971614583333235
2015-07-31,380.0,377.1763625786449,376.81029333456434,380.6225558862422,353.6091319444444,383.10999999999996,378.66693452380946,2.8236374213551017,3.189706665435665,-0.6225558862421963,26.390868055555586,-3.109999999999957,1.3330654761905407
